Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Europe & Central Asia,ECS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,5036.59576091681,5003.78208430205,4850.48179991583,4696.84135084291,4584.00353273986,4629.21640109777,4673.80357270284,4684.26707421052,4726.22691222526,4796.03728392018,4922.6589669736,5012.96688323463,5058.61703287685,5172.29735036684,5279.22815662021,5359.46566464991,5475.71202771405,5538.43234182497,5570.26892048618,5283.57237926976,5518.13938580275,5480.69966710296,5512.96010276365,5451.64088580559,5365.08821278088,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,5.5483,5.6241,5.6999,5.7751,5.8481,5.9106,5.9709,6.0272,6.079,6.1241,5.9455,6.1657,5.8194,5.5935,5.1144,6.3924,6.5682,6.0323,5.9058,6.5188,7.0511,6.5439,7.6603,6.8815,6.4843,6.9755,6.9532,6.7698,6.9885,7.3268,7.5985,6.4482,8.027,6.6389,7.331,7.2502,7.0461,7.1891,7.1876,7.5809,7.6151,7.6931,7.783
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
